,URL,Вопрос,Ответ
10,http://www.cbr.ru/Reception/TopicalMessage/Page/929,"Как понять, на какую программу обучения меня зачислили, в случае подачи заявок на несколько программ обучения?","Информация об успешном зачислении в группу/отказе в зачислении на выбранную программу обучения поступит на указанную Вами электронную почту при регистрации не позднее, чем за 10 рабочих дней до начала обучения."
11,http://www.cbr.ru/Reception/TopicalMessage/Page/930,Должен ли я регистрироваться на все этапы обучения?,"Нет, этап проведения обучения по программе соответствует лишь срокам проведения данной программы, на каждом этапе программа обучения одинаковая. То есть прохождение обучения по выбранной программе обучения является завершенным и не требует регистрации на эту же программу обучения в другие сроки проведения."
12,http://www.cbr.ru/Reception/TopicalMessage/Page/931,Какой документ я получу по итогам обучения?,При условии соблюдения требований к посещаемости и успешного прохождения итоговой аттестации в конце обучения выдается документ о прохождении обучения:
13,http://www.cbr.ru/Reception/TopicalMessage/Page/998,"О включении сравнительных данных в бухгалтерскую (финансовую) отчетность НФО, подготовленную в соответствии с ОСБУ в тестовом режиме","НФО в рамках тестового режима согласно плану перехода на План счетов 
бухгалтерского учета и ОСБУ для НФО должны представить в Банк России:"
14,http://www.cbr.ru/Reception/TopicalMessage/Page/1273,Карта «Мир». Вопросы и ответы,
15,http://www.cbr.ru/Reception/TopicalMessage/Page/1869,"В соответствии с разъяснениями Банка России для профессиональных участников рынка ценных бумаг («Заполнение пакета отчетности на конец квартала») в программном обеспечении «Конвертер» для заполнения отчетных форм, периодом по которым является месяц, необходимо использовать функцию добавления предыдущих периодов для добавления дополнительного периода. При использовании программное обеспечение «Анкета-редактор XBRL» также необходимо добавлять предыдущие периоды?",При использовании ПО «Анкета-редактор XBRL» версии выше 345 через табличный слой надзорно-статистической отчетности дополнительные периоды вносить не нужно. В таксономии в табличном слое периоды предопределены.
16,http://www.cbr.ru/Reception/TopicalMessage/Page/1870,"При работе в ПО «Анкета-редактор XBRL» колонки и данные целиком не отображаются, перемещаться по строке вправо возможно с помощью кнопки на клавиатуре «Tab», влево только при помощи мыши, будет ли в дальнейшем «кнопочное» управление программой или возможность более полного обзора данных?",Влево смещение работает при нажатии клавиш Shift+Tab.
17,http://www.cbr.ru/Reception/TopicalMessage/Page/2425,"Что делать в случае несогласия со значением коэффициента «бонус-малус» (КБМ), которое применила страховая компания при заключении нового договора ОСАГО?","Если вы не согласны с примененным к вам значением КБМ, рекомендуем обратиться с письменным заявлением в страховую организацию для проверки коэффициента."
18,http://www.cbr.ru/Reception/TopicalMessage/Page/2561,"Что делать, если страховая организация уклоняется либо отказывается заключать договор ОСАГО?","Страховая организация не имеет права отказывать в заключении договора ОСАГО владельцу транспортного средства, обратившемуся к нему с заявлением о заключении договора ОСАГО и представившему полный комплект документов, установленный Законом об ОСАГО. Если страховая организация отказывает либо уклоняется от заключения договора ОСАГО, вы можете обратиться в Банк России с приложением файлов (документов), содержащих доказательства отказа страховой организации в заключении договора ОСАГО. Отказ в заключении договора ОСАГО может быть зафиксирован не запрещенными законом способами (в том числе с помощью фото-, аудио- или видеоустройств, свидетелей), позволяющими сделать вывод о факте правонарушения (включая информацию о том, где, при каких обстоятельствах и с какой целью производилась запись; электронную дату фиксации нарушения). При отказах страховых организаций в заключении договора ОСАГО по причине отсутствия бланков полисов ОСАГО необходимо обратиться с жалобой в Российский союз автостраховщиков, который организует обеспечение своих членов бланками страховых полисов обязательного страхования и бланками, используемыми при осуществлении операций по страхованию в рамках международных систем страхования, и осуществляет контроль за использованием указанных бланков."
19,http://www.cbr.ru/Reception/TopicalMessage/Page/2562,"Что делать, если страховщик затягивает выплату по добровольным видам страхования?","Когда страховщик затягивает выплату страхового возмещения, вы вправе требовать от него уплаты неустойки (при наличии соответствующего условия в договоре) или процентов за пользование чужими деньгами. Для решения имущественного спора со страховщиком, если размер ваших требований к нему не превышает 500 тыс. рублей, вы можете обратиться к финансовому уполномоченному. Однако перед этим вам нужно направить претензию страховщику. Он обязан рассмотреть ее и предоставить вам ответ об удовлетворении, частичном удовлетворении или отказе в удовлетворении требования. Срок ответа на вашу претензию — 15 рабочих дней, если она была направлена в электронном виде и с момента нарушения ваших прав прошло не более 180 дней, в остальных случаях — в течение 30 дней."
20,http://www.cbr.ru/Reception/TopicalMessage/Page/2564,Кто вправе выдавать потребительские займы?,"Профессиональную деятельность по предоставлению потребительских займов могут вести кредитные организации (банки), а также некредитные финансовые организации в случаях, определенных федеральными законами об их деятельности (статья 4 Закона № 353-ФЗ «О потребительском кредите (займе)»."
21,http://www.cbr.ru/Reception/TopicalMessage/Page/2576,Как физическое лицо может приобрести памятные и инвестиционные монеты на территории РФ?,"Банк России в соответствии со своим статусом не проводит операции с физическими лицами. По вопросам приобретения памятных и инвестиционных монет из драгоценных металлов, а также монет из недрагоценных металлов в сувенирной упаковке следует обращаться в кредитные организации и АО «Гознак». Со списком организаций, с которыми заключены соглашения о передаче Банком России памятных и инвестиционных монет — валюты Российской Федерации — можно в разделе «Памятные и инвестиционные монеты»."
22,http://www.cbr.ru/Reception/TopicalMessage/Page/2577,Как физическое лицо может приобрести памятные и инвестиционные монеты за рубежом?,"Банк России в соответствии со своим статусом не проводит операции с физическими лицами. По вопросам приобретения памятных и инвестиционных монет из драгоценных металлов, а также монет из недрагоценных металлов в сувенирной упаковке следует обращаться к официальным распространителям памятных и инвестиционных монет Банка России за рубежом:"
23,http://www.cbr.ru/Reception/TopicalMessage/Page/2578,"Где найти информацию по памятным и инвестиционным монетам, выпускаемым в обращение Банком России?",
24,http://www.cbr.ru/Reception/TopicalMessage/Page/2579,Каков тираж выпускаемых памятных монет из недрагоценных металлов?,
25,http://www.cbr.ru/Reception/TopicalMessage/Page/2580,Может ли физическое лицо продать памятные или инвестиционные монеты банку?,
26,http://www.cbr.ru/Reception/TopicalMessage/Page/2581,"Почему на инвестиционных монетах появляются пятна, как влияет их наличие на качество монет?","Главное требование, предъявляемое к инвестиционным монетам — соответствие заявленным параметрам по массе химически чистого драгоценного металла, что, в свою очередь, обеспечивается отсутствием механических повреждений."
27,http://www.cbr.ru/Reception/TopicalMessage/Page/2582,Почему отказывают в приеме монет мелкого номинала? Законно ли это?,Монеты Банка России номиналом 1 копейка и 5 копеек являются законным средством наличного платежа на территории РФ и обязательны к приему по номиналу во все виды платежей без всяких ограничений.
28,http://www.cbr.ru/Reception/TopicalMessage/Page/2583,Как распределяются памятные монеты из недрагоценных металлов?,"Монеты Банка России, в том числе памятные монеты из недрагоценных металлов, выдаются из касс учреждений Банка России кредитным организациям — клиентам Банка России по номинальной стоимости. Банк России не осуществляет операции с физическими лицами."
29,http://www.cbr.ru/Reception/TopicalMessage/Page/2584,Вправе ли банки отказывать клиенту в размене наличных денег?,"В соответствии с Положением Банка России от 29.01.2018 № 630-П «О порядке ведения кассовых операций и правилах хранения, перевозки и инкассации банкнот и монеты Банка России в кредитных организациях на территории Российской Федерации» размен банкнот Банка России, монеты Банка России одного номинала на банкноты Банка России, монету Банка России другого номинала осуществляют кредитные организации (филиалы), их внутренние структурные подразделения, совершающие банковскую операцию по инкассации денежных средств, векселей, платежных и расчетных документов и кассовому обслуживанию физических и юридических лиц."
30,http://www.cbr.ru/Reception/TopicalMessage/Page/2585,"Правомерен ли отказ в приеме монеты Банка России торгово-сервисными организациями при приеме от физических лиц наличных денег за проданные товары, оказанные услуги?","Согласно ст. 140 Гражданского кодекса Российской Федерации рубль является законным платежным средством, обязательным к приему по нарицательной стоимости на всей территории Российской Федерации."
31,http://www.cbr.ru/Reception/TopicalMessage/Page/2586,Где и как можно обменять поврежденные банкноты Банка России?,"Для решения вопроса об обмене поврежденных банкнот Банка России необходимо обратиться в любую кредитную организацию, осуществляющую операции с наличными деньгами."
32,http://www.cbr.ru/Reception/TopicalMessage/Page/2587,"Правомочны ли предприятия торговли отказывать гражданам в приеме банкнот Банка России, имеющих незначительные повреждения?","В соответствии со ст. 34 Федерального закона от 10.07.2002 № 86-ФЗ «О Центральном банке Российской Федерации (Банке России)» Банк России устанавливает признаки платежеспособности банкнот и монеты Банка России (Указание Банка России от 26.12.2006 № 1778-У «О признаках платежеспособности и правилах обмена банкнот и монеты Банка России», с изменениями.)"
33,http://www.cbr.ru/Reception/TopicalMessage/Page/2588,"Вправе ли кредитные организации отказывать гражданам в приеме денежных знаков в иностранной валюте, на которых присутствуют штампы, надписи?","В соответствии с Инструкцией Банка России от 16.09.2010 № 136-И «О порядке осуществления уполномоченными банками (филиалами) отдельных видов банковских операций с наличной иностранной валютой и операций с чеками (в том числе дорожными чеками), номинальная стоимость которых указана в иностранной валюте, с участием физических лиц» (с изменениями) правила приема поврежденных денежных знаков иностранных государств (группы иностранных государств) разрабатываются уполномоченным банком (филиалом) самостоятельно на основе условий приема указанных денежных знаков их эмитентами. Указанные правила содержат перечень повреждений, при наличии которых денежные знаки иностранных государств (группы иностранных государств) не принимаются для осуществления операций с наличной иностранной валютой."
34,http://www.cbr.ru/Reception/TopicalMessage/Page/2589,"Почему на банкнотах и монетах Банка России помещен герб Временного правительства 1917 г., а не герб Российской Федерации?","На денежных знаках Банка России помещается его официальная эмблема — изображение двуглавого орла с опущенными крыльями и надпись полукругом «БАНК РОССИИ». В 1992 г. в условиях отсутствия государственной символики Российской Федерации эта эмблема была помещена на аверсах новых образцов монет, которые были утверждены Постановлением Президиума Верховного Совета Российской Федерации от 17.07.1992 № 3352-1 «О монетах нового образца, выпускаемых в обращение». Начиная с 1995 г. указанная эмблема помещается и на билетах Банка России."
35,http://www.cbr.ru/Reception/TopicalMessage/Page/2590,"Почему в оформлении разменных монет (номиналы 1, 5, 10, 50 копеек) используется изображение святого Георгия Победоносца? Монеты указанных номиналов не представляют большой ценности, и население часто относится к ним и образу святого пренебрежительно.",В оформлении разменных монет Банка России образца 1997 года изображение Георгия Победоносца используется в качестве стилизованного геральдического знака.
36,http://www.cbr.ru/Reception/TopicalMessage/Page/2591,"Почему Банк России не выпускает в обращение денежные знаки, частично содержащие драгоценные металлы или полностью из них изготовленные, для использования в денежных расчетах?","Денежные знаки, полностью или частично изготовленные из драгоценных металлов, могут выполнять роль реальных платежных средств только при неизменных ценах на драгоценные металлы, когда обе ценовые характеристики денежного знака (его фиксированный номинал и его «металлическая стоимость») эквивалентны и остаются постоянными величинами. В наше время невозможно обеспечить стабильность этого соотношения, так как номинал денежного знака остается фиксированной величиной, а его «металлическая стоимость» постоянно и непредсказуемо изменяется под воздействием плавающих цен мирового рынка на драгоценные металлы. В России данная экономическая реалия находит правовое отражение в ст. 28 Федерального закона от 10.07.2002 года № 86-ФЗ «О Центральном банке Российской Федерации (Банке России)», в соответствии с которой официальное соотношение между рублем и золотом или другими драгоценными металлами не устанавливается."
37,http://www.cbr.ru/Reception/TopicalMessage/Page/2592,"Почему количество монет Банка России из недрагоценных металлов, предназначенных для коллекционирования, ограничено?","Ограничение связано с техническими возможностями АО «Гознак», а также с особенностями перевозки и распространения данных монет по территории Российской Федерации."
38,http://www.cbr.ru/Reception/TopicalMessage/Page/2596,"Как узнать, зарегистрирована ли Банком России конкретная кредитная организация, и имеет ли она лицензию Банка России на осуществление банковских операций?","На официальном сайте Банка России реализована функция поиска нужной кредитной организации: по наименованию, регистрационному номеру, виду лицензии, региону и так далее. Карточка кредитной организации содержит информацию о ее наименовании, регистрационном номере, дате регистрации Банком России, уставном капитале, виде банковской лицензии, местонахождении, телефонах, адресе веб-сайта, адресах филиалов и количестве внутренних структурных подразделений."
39,http://www.cbr.ru/Reception/TopicalMessage/Page/2597,"На каком основании кредитная организация выдает кредиты физическим лицам, если в лицензии Банка России прямо не прописано, что кредитная организация вправе осуществлять операции «по кредитованию физических лиц»?","Заключение кредитного договора является одной из сделок, которые вправе совершать кредитные организации, зарегистрированные в установленном законодательством Российской Федерации порядке и получившие лицензию Банка России на осуществление банковских операций."
40,http://www.cbr.ru/Reception/TopicalMessage/Page/2598,"Где найти актуальные списки банков, участвующих в государственной программе страхования вкладов, а также банков, исключенных из этого списка?","Актуальные перечни банков — участников системы страхования вкладов, а также банков, исключенных из системы страхования вкладов, размещены на официальном сайте государственной корпорации «Агентство по страхованию вкладов» в разделе «Банки», подразделы «Участники ССВ», «Исключенные из ССВ»."
41,http://www.cbr.ru/Reception/TopicalMessage/Page/2599,Каков порядок получения вклада в кредитной организации после отзыва у нее лицензии на осуществление банковских операций?,"Отзыв лицензии на осуществление банковских операций является страховым случаем, предусмотренным Федеральным законом от 23.12.2003 № 177-ФЗ «О страховании вкладов физических лиц в банках Российской Федерации». Возмещение по вкладам выплачивается вкладчику в размере 100% суммы всех его вкладов (счетов) в банке, но не более 1,4 млн руб. в совокупности, за вычетом встречных требований банка к вкладчику. По страховым случаям, наступившим до вступления в силу Федерального закона от 29.12.2014 № 451-ФЗ «О внесении изменений в статью 11 Федерального закона «О страховании вкладов физических лиц в банках Российской Федерации» и статью 46 Федерального закона «О Центральном банке Российской Федерации (Банке России)», т.е. до 29 декабря 2014 года, предельная сумма указанного возмещения составляет 700 тыс. рублей."
42,http://www.cbr.ru/Reception/TopicalMessage/Page/2600,"Можно ли получить причитающиеся сбережения, если вклады (каждый до 1,4 млн рублей) находятся в двух разных коммерческих банках — участниках системы страхования вкладов, у которых одновременно отозвана лицензия?","Ст. 11 Федерального закона от 23.12.2003 № 177-ФЗ «О страховании вкладов физических лиц в банках Российской Федерации» определено, что размер возмещения по вкладам каждому вкладчику устанавливается исходя из суммы обязательств по вкладам в банке, в отношении которого наступил страховой случай, перед этим вкладчиком. Если вкладчик имеет несколько вкладов в одном банке, в отношении которого страховой случай наступил после 29.12.2014, возмещение выплачивается по каждому из вкладов пропорционально их размерам, но не более 1,4 млн рублей. Данное условие действует в отношении всех вкладов, внесенных в один банк, в том числе вкладов, внесенных в связи с осуществлением предусмотренной федеральным законом предпринимательской деятельности (за исключением счетов эскроу, предусмотренных ст. 12.1 указанного Федерального закона). При наступлении страхового случая одновременно в отношении нескольких банков, в которых вкладчик имеет вклады, размер страхового возмещения исчисляется в отношении каждого банка отдельно."
43,http://www.cbr.ru/Reception/TopicalMessage/Page/2601,Когда вкладчик может забрать вклад больше страховой суммы?,"Вкладчик, получивший возмещение по вкладам, сохраняет право требования к банку на сумму, определяемую как разница между размером требований вкладчика к данному банку и суммой выплаченного ему возмещения по вкладам в данном банке. Сумма, превышающая страховое возмещение, будет выплачиваться в ходе ликвидационных процедур после принятия судом решения о признании банка банкротом или назначения ликвидатора."
44,http://www.cbr.ru/Reception/TopicalMessage/Page/2602,"В какие сроки и какие документы должен представить вкладчик для предъявления требования на сумму вклада, превышающую страховое возмещение по вкладам?","В любой момент в период деятельности временной администрации и в ходе ликвидации / конкурсного производства вкладчик вправе подать требование на сумму вклада, превышающую страховое возмещение. Примерная форма требования размещена на сайте государственной корпорации «Агентство по страхованию вкладов». Одновременно вкладчику необходимо представить копию договора банковского вклада и справку из банка-агента о получении страховой суммы."
45,http://www.cbr.ru/Reception/TopicalMessage/Page/2603,"Где и в какие сроки публикуется (размещается) информация об отзыве (аннулировании) у кредитной организации лицензии на осуществление банковских операций, а также о начале ликвидационных процедур?",Информационное сообщение об отзыве (аннулировании) у кредитной организации лицензии на осуществление банковских операций размещается в день принятия Банком России соответствующего решения на официальном сайте Банка России.
46,http://www.cbr.ru/Reception/TopicalMessage/Page/2604,Какие последствия наступают после отзыва у банка лицензии?,В соответствии со ст. 20 Федерального закона от 02.12.1990 № 395-1 «О банках и банковской деятельности» с момента отзыва у кредитной организации лицензии:
47,http://www.cbr.ru/Reception/TopicalMessage/Page/2605,Каков порядок погашения кредита после отзыва у банка лицензии?,"Отзыв лицензии не означает освобождение заемщиков банков от обязанности исполнять своевременно и в полном объеме, в соответствии с условиями ранее заключенных договоров, свои обязательства перед кредитной организацией."
48,http://www.cbr.ru/Reception/TopicalMessage/Page/2606,"Каким образом можно забрать имущество, находящееся по договору на хранении в банковской ячейке после отзыва у банка лицензии на осуществление банковских операций?","Временная администрация имеет право осуществить возврат имущества, принятого кредитной организацией на ответственное хранение. По вопросу расторжения договора аренды банковской ячейки физическому лицу необходимо явиться в кредитную организацию и обратиться к сотруднику кредитной организации (представителю временной администрации по управлению кредитной организацией) с письменным заявлением, указав все реквизиты (дата и номер договора аренды банковской ячейки, паспортные данные), а также представив договор аренды банковской ячейки."
49,http://www.cbr.ru/Reception/TopicalMessage/Page/2607,Является ли правомерной передача банком прав требований к заемщику по кредитному договору другому банку без согласования с заемщиком?,"Право (требование) кредитора может быть переуступлено другому лицу. При этом не требуется получение согласия должника, если иное не предусмотрено законом или договором (ст. 382 Гражданского кодекса Российской Федерации)."
